total count,percent of total,activties count,percent of activities,tokens,n_gram
119,0.000261,119,0.002315,رائحة,1grams
118,0.000258,110,0.002140,quiero,1grams
117,0.000256,110,0.002140,dele,1grams
117,0.000256,114,0.002218,lady,1grams
117,0.000256,117,0.002276,مبيعا,1grams
116,0.000254,116,0.002257,leva,1grams
116,0.000254,116,0.002257,#655,1grams
115,0.000252,114,0.002218,rich,1grams
115,0.000252,111,0.002160,fantasy,1grams
115,0.000252,114,0.002218,always,1grams
115,0.000252,115,0.002238,gaja,1grams
114,0.000250,114,0.002218,full,1grams
114,0.000250,113,0.002199,lotion,1grams
114,0.000250,114,0.002218,田中裕介氏が語るmvの解釈,1grams
114,0.000250,114,0.002218,コードを抜いて停止,1grams
114,0.000250,114,0.002218,田中裕介,1grams
114,0.000250,114,0.002218,lifeの監督,1grams
114,0.000250,114,0.002218,勘違いだったわけですね,1grams
113,0.000248,113,0.002199,minas,1grams
113,0.000248,113,0.002199,minuto,1grams
113,0.000248,113,0.002199,abrazar,1grams
113,0.000248,113,0.002199,@prfm_neta_bot,1grams
113,0.000248,113,0.002199,oyno6foobh,1grams
113,0.000248,113,0.002199,hoje,1grams
113,0.000248,107,0.002082,need,1grams
113,0.000248,109,0.002121,banho,1grams
112,0.000245,112,0.002179,perfumeニューアルバム,1grams
112,0.000245,107,0.002082,pure,1grams
112,0.000245,104,0.002024,todos,1grams
112,0.000245,112,0.002179,@atal27599,1grams
112,0.000245,96,0.001868,bvlgari,1grams
112,0.000245,110,0.002140,pone,1grams
112,0.000245,112,0.002179,#Beauty,1grams
112,0.000245,109,0.002121,spears,1grams
112,0.000245,111,0.002160,know,1grams
111,0.000243,111,0.002160,available,1grams
111,0.000243,107,0.002082,lança,1grams
111,0.000243,110,0.002140,flower,1grams
110,0.000241,110,0.002140,#WIN,1grams
110,0.000241,110,0.002140,#nowplaying,1grams
109,0.000239,109,0.002121,enter,1grams
109,0.000239,109,0.002121,sunnahs,1grams
109,0.000239,107,0.002082,aroma,1grams
109,0.000239,109,0.002121,ちはやふるの日,1grams
108,0.000237,100,0.001946,huele,1grams
108,0.000237,108,0.002101,abrazan,1grams
108,0.000237,108,0.002101,garden,1grams
108,0.000237,108,0.002101,@AncientAmbiance,1grams
108,0.000237,108,0.002101,#Competition,1grams
108,0.000237,108,0.002101,edition,1grams
107,0.000234,107,0.002082,breaks,1grams
107,0.000234,107,0.002082,candles,1grams
107,0.000234,107,0.002082,vindo,1grams
107,0.000234,107,0.002082,96zdhojgt9,1grams
107,0.000234,107,0.002082,followers,1grams
107,0.000234,107,0.002082,@CitouOProjota,1grams
107,0.000234,107,0.002082,grabs,1grams
106,0.000232,106,0.002062,fora,1grams
106,0.000232,106,0.002062,jhu5pu6cxh,1grams
106,0.000232,64,0.001245,boss,1grams
106,0.000232,103,0.002004,mejor,1grams
106,0.000232,106,0.002062,traz,1grams
105,0.000230,105,0.002043,@love_belfast,1grams
105,0.000230,105,0.002043,bottles,1grams
105,0.000230,103,0.002004,style,1grams
105,0.000230,104,0.002024,glass,1grams
105,0.000230,105,0.002043,dhgxkf8swp,1grams
104,0.000228,104,0.002024,#Deals,1grams
104,0.000228,104,0.002024,@fairyjinhwan_,1grams
104,0.000228,100,0.001946,hilton,1grams
104,0.000228,104,0.002024,@Dansh_i,1grams
104,0.000228,104,0.002024,#craftshout,1grams
104,0.000228,104,0.002024,embora,1grams
103,0.000226,97,0.001887,dela,1grams
102,0.000223,102,0.001985,coming,1grams
102,0.000223,102,0.001985,made,1grams
101,0.000221,101,0.001965,give,1grams
101,0.000221,101,0.001965,retweet,1grams
101,0.000221,101,0.001965,sprayed,1grams
100,0.000219,98,0.001907,night,1grams
100,0.000219,95,0.001848,nice,1grams
100,0.000219,100,0.001946,splash,1grams
100,0.000219,100,0.001946,@twtwanitaa,1grams
100,0.000219,100,0.001946,@NosIronico,1grams
99,0.000217,99,0.001926,逆さまだけど,1grams
